_Eihop,_P0,hops,d,_R,_Nb
0.352,0.90,1,135,250,90
0.352,0.90,2,67,250,90
0.403,0.97,2,67,250,90
0.421,0.93,1,135,250,90
0.36,0.28,1,135,250,90
0.82,0.43,1,135,250,90
0.194,0.64,1,135,250,90
0.522,0.108,1,135,250,90
0.07,0.14,1,135,250,90
0.28,0.25,1,135,250,90
0.03,0.10,1,135,250,90
0.554,0.111,1,135,250,90
0.18,0.18,1,135,250,90
0.14,0.18,1,135,250,90
0.46,0.32,2,67,250,90
0.252,0.75,1,135,250,90
0.10,0.14,1,135,250,90
0.385,0.93,1,135,250,90
0.208,0.68,1,135,250,90
0.270,0.79,1,135,250,90
0.298,0.82,1,135,250,90
0.525,0.108,1,135,250,90
0.255,0.75,1,135,250,90
0.43,0.32,1,135,250,90
0.572,0.115,1,135,250,90
0.194,0.64,1,135,250,90
0.406,0.97,1,135,250,90
0.306,0.82,1,135,250,90
0.122,0.54,1,135,250,90
0.259,0.75,1,135,250,90
0.514,0.108,1,135,250,90
0.507,0.108,1,135,250,90
0.25,0.25,1,135,250,90
0.273,0.79,1,135,250,90
0.514,0.108,1,135,250,90
0.273,0.79,1,135,250,90
0.237,0.75,1,135,250,90
0.86,0.43,1,135,250,90
0.306,0.82,2,67,250,90
0.201,0.68,1,135,250,90
0.252,0.75,2,67,250,90
0.82,0.43,1,135,250,90
0.07,0.14,2,67,250,90
0.144,0.57,1,135,250,90
0.46,0.32,1,135,250,90
0.464,0.104,2,67,250,90
0.54,0.36,2,67,250,90
0.482,0.104,1,135,250,90
0.108,0.50,1,135,250,90
0.14,0.18,2,67,250,90
0.244,0.75,1,135,250,90
0.291,0.82,1,135,250,90
0.07,0.14,1,135,250,90
0.284,0.79,1,135,250,90
0.07,0.10,1,135,250,90
0.183,0.64,1,135,250,90
0.14,0.18,1,135,250,90
0.75,0.39,1,135,250,90
0.543,0.111,1,135,250,90
0.50,0.32,1,135,250,90
0.03,0.10,1,135,250,90
0.32,0.28,1,135,250,90
0.57,0.36,1,135,250,90
0.237,0.75,1,135,250,90
0.280,0.79,1,135,250,90
0.540,0.111,1,135,250,90
0.396,0.93,1,135,250,90
0.396,0.93,1,135,250,90
0.25,0.25,1,135,250,90
0.298,0.82,1,135,250,90
0.43,0.32,2,67,250,90
0.18,0.21,1,135,250,90
0.14,0.18,1,135,250,90
0.532,0.111,1,135,250,90
0.482,0.104,2,67,250,90
0.82,0.39,2,67,250,90
0.338,0.86,1,135,250,90
0.216,0.68,1,135,250,90
0.100,0.46,2,67,250,90
0.147,0.57,1,135,250,90
0.338,0.86,1,135,250,90
0.147,0.57,1,135,250,90
0.180,0.64,1,135,250,90
0.291,0.82,2,67,250,90
0.104,0.46,2,67,250,90
0.230,0.68,1,135,250,90
0.352,0.90,1,135,250,90
0.284,0.79,1,135,250,90
0.14,0.18,1,135,250,90
0.100,0.46,2,67,250,90
0.39,0.28,1,135,250,90
0.90,0.43,1,135,250,90
0.140,0.57,1,135,250,90
0.385,0.93,1,135,250,90
0.219,0.72,1,135,250,90
0.428,0.97,1,135,250,90
0.266,0.79,1,135,250,90
0.298,0.79,1,135,250,90
0.410,0.97,1,135,250,90
0.522,0.108,1,135,250,90
0.345,0.90,1,135,250,90
0.367,0.86,1,135,250,90
0.140,0.57,1,135,250,90
0.54,0.36,1,135,250,90
0.237,0.72,1,135,250,90
0.356,0.90,1,135,250,90
0.471,0.100,1,135,250,90
0.140,0.57,1,135,250,90
0.266,0.79,1,135,250,90
0.28,0.25,1,135,250,90
0.468,0.104,1,135,250,90
0.61,0.36,1,135,250,90
0.234,0.72,1,135,250,90
0.64,0.39,1,135,250,90
0.223,0.72,1,135,250,90
0.07,0.14,2,67,250,90
0.306,0.82,2,67,250,90
0.345,0.86,1,135,250,90
0.162,0.61,1,135,250,90
0.07,0.14,1,135,250,90
0.140,0.57,1,135,250,90
0.532,0.108,1,135,250,90
0.223,0.72,1,135,250,90
0.144,0.57,1,135,250,90
0.14,0.18,1,135,250,90
0.32,0.28,1,135,250,90
0.72,0.39,2,67,250,90
0.93,0.43,1,135,250,90
0.118,0.54,1,135,250,90
0.03,0.10,1,135,250,90
0.25,0.25,1,135,250,90
0.201,0.68,1,135,250,90
0.172,0.61,2,67,250,90
0.82,0.43,1,135,250,90
0.18,0.21,1,135,250,90
0.439,0.100,1,135,250,90
0.464,0.104,1,135,250,90
0.291,0.82,1,135,250,90
0.111,0.50,1,135,250,90
0.550,0.111,1,135,250,90
0.486,0.108,1,135,250,90
0.169,0.61,1,135,250,90
0.428,0.97,1,135,250,90
0.262,0.79,1,135,250,90
0.115,0.50,1,135,250,90
0.399,0.97,1,135,250,90
0.90,0.43,1,135,250,90
0.86,0.43,1,135,250,90
0.403,0.93,1,135,250,90
0.309,0.82,1,135,250,90
0.446,0.100,1,135,250,90
0.500,0.108,1,135,250,90
0.381,0.93,1,135,250,90
0.72,0.39,1,135,250,90
0.244,0.75,1,135,250,90
0.298,0.82,1,135,250,90
0.108,0.50,1,135,250,90
0.122,0.54,1,135,250,90
0.208,0.68,1,135,250,90
0.514,0.108,1,135,250,90
0.532,0.111,1,135,250,90
0.183,0.64,1,135,250,90
0.07,0.14,1,135,250,90
0.349,0.90,2,67,250,90
0.280,0.79,1,135,250,90
0.03,0.10,1,135,250,90
0.133,0.54,1,135,250,90
0.518,0.108,1,135,250,90
0.115,0.50,1,135,250,90
0.57,0.36,1,135,250,90
0.183,0.64,1,135,250,90
0.25,0.21,1,135,250,90
0.536,0.108,1,135,250,90
0.25,0.21,1,135,250,90
0.21,0.21,1,135,250,90
0.417,0.97,1,135,250,90
0.100,0.46,1,135,250,90
0.262,0.79,1,135,250,90
0.147,0.57,1,135,250,90
0.378,0.93,1,135,250,90
0.21,0.21,1,135,250,90
0.82,0.43,1,135,250,90
0.226,0.72,1,135,250,90
0.68,0.39,1,135,250,90
0.277,0.79,1,135,250,90
0.25,0.25,1,135,250,90
0.205,0.68,1,135,250,90
0.295,0.82,1,135,250,90
0.169,0.61,1,135,250,90
0.147,0.54,1,135,250,90
0.68,0.39,1,135,250,90
0.403,0.93,1,135,250,90
0.349,0.90,1,135,250,90
0.61,0.36,1,135,250,90
0.03,0.10,1,135,250,90
0.54,0.36,1,135,250,90
0.424,0.100,1,135,250,90
0.536,0.111,1,135,250,90
0.435,0.100,1,135,250,90
0.07,0.14,1,135,250,90
0.25,0.25,1,135,250,90
0.424,0.100,1,135,250,90
0.187,0.64,1,135,250,90
0.68,0.39,1,135,250,90
0.532,0.108,1,135,250,90
0.381,0.93,1,135,250,90
0.446,0.100,1,135,250,90
0.259,0.75,1,135,250,90
0.03,0.10,1,135,250,90
0.345,0.90,1,135,250,90
0.252,0.72,1,135,250,90
0.147,0.57,1,135,250,90
0.14,0.18,1,135,250,90
0.478,0.104,1,135,250,90
0.169,0.61,1,135,250,90
0.36,0.25,1,135,250,90
0.14,0.18,1,135,250,90
0.273,0.79,1,135,250,90
0.25,0.25,2,67,250,90
0.529,0.111,1,135,250,90
0.212,0.68,2,67,250,90
0.75,0.39,1,135,250,90
0.43,0.32,1,135,250,90
0.43,0.32,1,135,250,90
0.100,0.46,1,135,250,90
0.378,0.93,1,135,250,90
0.360,0.90,1,135,250,90
0.352,0.90,1,135,250,90
0.518,0.108,1,135,250,90
0.75,0.39,1,135,250,90
0.64,0.39,1,135,250,90
0.100,0.50,1,135,250,90
0.320,0.86,1,135,250,90
0.385,0.93,1,135,250,90
0.14,0.18,1,135,250,90
0.248,0.75,1,135,250,90
0.115,0.50,1,135,250,90
0.118,0.54,1,135,250,90
0.43,0.32,1,135,250,90
0.154,0.61,1,135,250,90
0.21,0.21,1,135,250,90
0.360,0.90,1,135,250,90
0.158,0.61,1,135,250,90
0.475,0.104,1,135,250,90
0.10,0.18,1,135,250,90
0.507,0.108,1,135,250,90
0.223,0.72,1,135,250,90
0.03,0.10,1,135,250,90
0.64,0.39,1,135,250,90
0.144,0.57,1,135,250,90
0.388,0.97,1,135,250,90
0.93,0.46,1,135,250,90
0.554,0.111,1,135,250,90
0.277,0.72,1,135,250,90
0.241,0.75,1,135,250,90
0.421,0.97,1,135,250,90
0.367,0.90,1,135,250,90
0.334,0.86,1,135,250,90
0.496,0.108,1,135,250,90
0.223,0.68,2,67,250,90
0.360,0.86,1,135,250,90
0.21,0.21,1,135,250,90
0.216,0.72,1,135,250,90
0.57,0.36,1,135,250,90
0.162,0.57,1,135,250,90
0.82,0.43,1,135,250,90
0.504,0.108,1,135,250,90
0.10,0.14,1,135,250,90
0.165,0.61,1,135,250,90
0.324,0.86,1,135,250,90
0.118,0.50,1,135,250,90
0.244,0.75,1,135,250,90
0.248,0.75,1,135,250,90
0.86,0.43,1,135,250,90
0.25,0.25,1,135,250,90
0.320,0.86,1,135,250,90
0.32,0.25,1,135,250,90
0.97,0.46,1,135,250,90
0.403,0.93,1,135,250,90
0.03,0.10,1,135,250,90
0.39,0.28,1,135,250,90
0.381,0.93,1,135,250,90
0.03,0.10,1,135,250,90
0.550,0.111,1,135,250,90
0.536,0.111,1,135,250,90
0.388,0.93,1,135,250,90
0.21,0.21,1,135,250,90
0.07,0.14,2,67,250,90
0.54,0.32,1,135,250,90
0.82,0.43,1,135,250,90
0.320,0.86,1,135,250,90
0.10,0.14,1,135,250,90
0.10,0.14,1,135,250,90
0.68,0.39,1,135,250,90
0.162,0.61,1,135,250,90
0.172,0.61,2,67,250,90
0.352,0.86,1,135,250,90
0.133,0.54,1,135,250,90
0.478,0.104,1,135,250,90
0.28,0.25,1,135,250,90
0.183,0.64,1,135,250,90
0.39,0.28,1,135,250,90
0.320,0.86,2,67,250,90
0.187,0.64,1,135,250,90
0.378,0.93,1,135,250,90
0.14,0.18,1,135,250,90
0.07,0.14,1,135,250,90
0.237,0.75,1,135,250,90
0.43,0.32,2,67,250,90
0.97,0.46,2,67,250,90
0.10,0.14,1,135,250,90
0.471,0.100,1,135,250,90
0.57,0.36,1,135,250,90
0.54,0.36,1,135,250,90
0.97,0.46,1,135,250,90
0.25,0.25,1,135,250,90
0.165,0.61,1,135,250,90
0.115,0.50,1,135,250,90
0.25,0.25,1,135,250,90
0.14,0.18,1,135,250,90
0.291,0.82,1,135,250,90
0.504,0.104,1,135,250,90
0.363,0.90,1,135,250,90
0.111,0.50,1,135,250,90
0.255,0.75,1,135,250,90
0.446,0.100,1,135,250,90
0.392,0.97,1,135,250,90
0.122,0.54,1,135,250,90
0.25,0.25,1,135,250,90
0.237,0.75,1,135,250,90
0.61,0.36,1,135,250,90
0.320,0.86,1,135,250,90
0.410,0.97,1,135,250,90
0.291,0.79,1,135,250,90
0.453,0.100,1,135,250,90
0.234,0.72,2,67,250,90
0.104,0.50,2,67,250,90
0.464,0.104,2,67,250,90
0.453,0.100,1,135,250,90
0.522,0.108,1,135,250,90
0.288,0.82,1,135,250,90
0.378,0.93,1,135,250,90
0.244,0.72,1,135,250,90
0.03,0.10,1,135,250,90
0.270,0.79,1,135,250,90
0.403,0.97,1,135,250,90
0.57,0.36,1,135,250,90
0.396,0.97,1,135,250,90
0.86,0.46,1,135,250,90
0.158,0.61,1,135,250,90
0.07,0.14,1,135,250,90
0.36,0.28,1,135,250,90
0.223,0.72,1,135,250,90
0.442,0.97,1,135,250,90
0.03,0.10,1,135,250,90
0.68,0.39,2,67,250,90
0.266,0.79,1,135,250,90
0.104,0.50,1,135,250,90
0.255,0.75,1,135,250,90
0.32,0.25,1,135,250,90
0.482,0.104,1,135,250,90
0.554,0.111,1,135,250,90
0.496,0.108,1,135,250,90
0.471,0.100,1,135,250,90
0.230,0.68,1,135,250,90
0.529,0.111,1,135,250,90
0.320,0.86,1,135,250,90
0.154,0.57,1,135,250,90
0.252,0.75,1,135,250,90
0.68,0.39,1,135,250,90
0.212,0.72,1,135,250,90
0.39,0.28,1,135,250,90
0.237,0.72,1,135,250,90
0.352,0.90,1,135,250,90
0.500,0.108,1,135,250,90
0.43,0.32,1,135,250,90
0.201,0.68,1,135,250,90
0.43,0.32,1,135,250,90
0.07,0.14,1,135,250,90
0.309,0.82,1,135,250,90
0.262,0.75,1,135,250,90
0.54,0.36,1,135,250,90
0.212,0.68,1,135,250,90
0.532,0.111,1,135,250,90
0.64,0.39,1,135,250,90
0.489,0.108,1,135,250,90
0.43,0.32,1,135,250,90
0.316,0.86,1,135,250,90
0.248,0.75,1,135,250,90
0.385,0.93,1,135,250,90
0.115,0.50,1,135,250,90
0.57,0.36,1,135,250,90
0.07,0.14,1,135,250,90
0.342,0.90,1,135,250,90
0.529,0.111,1,135,250,90
0.21,0.25,1,135,250,90
0.07,0.10,1,135,250,90
0.252,0.75,1,135,250,90
0.316,0.86,2,67,250,90
0.414,0.93,1,135,250,90
0.421,0.100,1,135,250,90
0.111,0.50,1,135,250,90
0.525,0.111,1,135,250,90
0.151,0.57,1,135,250,90
0.486,0.104,1,135,250,90
0.266,0.75,1,135,250,90
0.302,0.82,1,135,250,90
0.72,0.39,1,135,250,90
0.489,0.108,1,135,250,90
0.57,0.36,1,135,250,90
0.36,0.28,1,135,250,90
0.57,0.36,1,135,250,90
0.475,0.104,1,135,250,90
0.568,0.115,1,135,250,90
0.234,0.72,1,135,250,90
0.129,0.54,1,135,250,90
0.349,0.90,1,135,250,90
0.230,0.72,2,67,250,90
0.252,0.75,1,135,250,90
0.446,0.100,1,135,250,90
0.79,0.43,1,135,250,90
0.162,0.61,1,135,250,90
0.500,0.108,1,135,250,90
0.03,0.10,1,135,250,90
0.363,0.90,1,135,250,90
0.03,0.10,1,135,250,90
0.201,0.68,1,135,250,90
0.68,0.36,1,135,250,90
0.259,0.79,1,135,250,90
0.536,0.108,1,135,250,90
0.273,0.79,1,135,250,90
0.03,0.10,1,135,250,90
0.122,0.54,1,135,250,90
0.374,0.93,1,135,250,90
0.370,0.93,1,135,250,90
0.64,0.39,1,135,250,90
0.543,0.111,1,135,250,90
0.306,0.82,1,135,250,90
