_Eihop,_P0,hops,d,_R,_Nb
0.50,0.28,1,135,250,90
0.118,0.43,1,135,250,90
0.169,0.50,1,135,250,90
0.111,0.39,1,135,250,90
0.180,0.54,1,135,250,90
0.187,0.54,1,135,250,90
0.100,0.39,1,135,250,90
0.356,0.75,1,135,250,90
0.216,0.57,1,135,250,90
0.140,0.46,1,135,250,90
0.21,0.18,1,135,250,90
0.331,0.72,1,135,250,90
0.352,0.72,1,135,250,90
0.104,0.39,1,135,250,90
0.230,0.61,1,135,250,90
0.03,0.07,1,135,250,90
0.64,0.32,1,135,250,90
0.208,0.57,1,135,250,90
0.241,0.61,1,135,250,90
0.68,0.32,1,135,250,90
0.298,0.68,1,135,250,90
0.14,0.14,1,135,250,90
0.14,0.14,1,135,250,90
0.241,0.61,1,135,250,90
0.136,0.46,1,135,250,90
0.169,0.50,1,135,250,90
0.32,0.21,1,135,250,90
0.36,0.21,1,135,250,90
0.158,0.50,2,67,250,90
0.280,0.64,1,135,250,90
0.28,0.21,1,135,250,90
0.68,0.32,1,135,250,90
0.313,0.68,1,135,250,90
0.14,0.14,1,135,250,90
0.108,0.39,1,135,250,90
0.309,0.68,1,135,250,90
0.338,0.72,1,135,250,90
0.14,0.14,1,135,250,90
0.21,0.18,1,135,250,90
0.90,0.36,1,135,250,90
0.104,0.39,1,135,250,90
0.14,0.14,1,135,250,90
0.223,0.57,1,135,250,90
0.57,0.28,1,135,250,90
0.104,0.39,1,135,250,90
0.298,0.68,1,135,250,90
0.108,0.39,1,135,250,90
0.122,0.43,1,135,250,90
0.302,0.68,1,135,250,90
0.324,0.72,1,135,250,90
0.298,0.68,1,135,250,90
0.273,0.64,1,135,250,90
0.302,0.68,1,135,250,90
0.144,0.46,1,135,250,90
0.158,0.46,1,135,250,90
0.64,0.32,1,135,250,90
0.176,0.50,1,135,250,90
0.313,0.68,1,135,250,90
0.03,0.07,1,135,250,90
0.331,0.72,1,135,250,90
0.43,0.25,1,135,250,90
0.241,0.61,1,135,250,90
0.72,0.32,1,135,250,90
0.72,0.32,1,135,250,90
0.201,0.54,1,135,250,90
0.313,0.68,1,135,250,90
0.108,0.39,1,135,250,90
0.10,0.14,1,135,250,90
0.306,0.68,1,135,250,90
0.39,0.25,1,135,250,90
0.68,0.32,1,135,250,90
0.82,0.36,1,135,250,90
0.43,0.25,1,135,250,90
0.367,0.75,1,135,250,90
0.136,0.46,1,135,250,90
0.25,0.18,1,135,250,90
0.374,0.75,1,135,250,90
0.03,0.07,1,135,250,90
0.262,0.61,1,135,250,90
0.342,0.72,1,135,250,90
0.284,0.64,1,135,250,90
0.298,0.68,1,135,250,90
0.154,0.46,1,135,250,90
0.288,0.64,1,135,250,90
0.334,0.72,1,135,250,90
0.313,0.68,1,135,250,90
0.28,0.21,1,135,250,90
0.18,0.14,1,135,250,90
0.241,0.61,1,135,250,90
0.82,0.36,1,135,250,90
0.194,0.54,1,135,250,90
0.169,0.50,1,135,250,90
0.97,0.39,1,135,250,90
0.187,0.54,1,135,250,90
0.212,0.57,1,135,250,90
0.126,0.43,1,135,250,90
0.363,0.75,1,135,250,90
0.03,0.07,1,135,250,90
0.86,0.36,1,135,250,90
0.370,0.75,1,135,250,90
0.334,0.72,1,135,250,90
0.273,0.64,1,135,250,90
0.72,0.32,1,135,250,90
0.313,0.68,1,135,250,90
0.352,0.72,1,135,250,90
0.237,0.61,1,135,250,90
0.10,0.14,1,135,250,90
0.169,0.50,1,135,250,90
0.334,0.72,1,135,250,90
0.147,0.46,1,135,250,90
0.306,0.68,1,135,250,90
0.72,0.32,1,135,250,90
0.352,0.72,1,135,250,90
0.140,0.46,1,135,250,90
0.237,0.61,1,135,250,90
0.313,0.68,1,135,250,90
0.277,0.64,1,135,250,90
0.108,0.39,1,135,250,90
0.82,0.36,1,135,250,90
0.190,0.54,1,135,250,90
0.144,0.46,1,135,250,90
0.21,0.18,1,135,250,90
0.32,0.21,1,135,250,90
0.313,0.68,1,135,250,90
0.108,0.39,1,135,250,90
0.183,0.54,1,135,250,90
0.183,0.54,1,135,250,90
0.244,0.61,1,135,250,90
0.21,0.18,1,135,250,90
0.82,0.36,1,135,250,90
0.309,0.68,1,135,250,90
0.147,0.46,1,135,250,90
0.07,0.10,1,135,250,90
0.122,0.43,1,135,250,90
0.86,0.36,1,135,250,90
0.162,0.50,1,135,250,90
0.309,0.68,1,135,250,90
0.295,0.68,1,135,250,90
0.46,0.25,1,135,250,90
0.68,0.32,1,135,250,90
0.172,0.50,1,135,250,90
0.198,0.54,2,67,250,90
0.363,0.75,1,135,250,90
0.14,0.14,1,135,250,90
0.57,0.28,1,135,250,90
0.43,0.25,2,67,250,90
0.82,0.36,1,135,250,90
0.28,0.21,1,135,250,90
0.07,0.10,1,135,250,90
0.43,0.25,1,135,250,90
0.10,0.14,1,135,250,90
0.169,0.50,2,67,250,90
0.32,0.21,1,135,250,90
0.75,0.32,1,135,250,90
0.03,0.07,1,135,250,90
0.14,0.14,1,135,250,90
0.147,0.46,1,135,250,90
0.342,0.72,1,135,250,90
0.338,0.72,1,135,250,90
0.334,0.72,1,135,250,90
0.72,0.32,1,135,250,90
0.187,0.54,1,135,250,90
0.14,0.14,1,135,250,90
0.212,0.57,1,135,250,90
0.306,0.68,1,135,250,90
0.144,0.46,1,135,250,90
0.100,0.36,1,135,250,90
0.367,0.75,1,135,250,90
0.72,0.32,1,135,250,90
0.259,0.64,1,135,250,90
0.190,0.54,1,135,250,90
0.07,0.10,1,135,250,90
0.363,0.75,1,135,250,90
0.68,0.32,1,135,250,90
0.126,0.43,1,135,250,90
0.360,0.75,1,135,250,90
0.212,0.57,1,135,250,90
0.248,0.61,1,135,250,90
0.280,0.64,1,135,250,90
0.36,0.21,1,135,250,90
0.122,0.43,1,135,250,90
0.241,0.61,1,135,250,90
0.07,0.10,1,135,250,90
0.68,0.32,1,135,250,90
0.324,0.68,1,135,250,90
0.54,0.28,1,135,250,90
0.03,0.07,1,135,250,90
0.194,0.54,1,135,250,90
0.10,0.14,1,135,250,90
0.306,0.68,1,135,250,90
0.270,0.64,1,135,250,90
0.21,0.18,1,135,250,90
0.90,0.36,1,135,250,90
0.313,0.68,1,135,250,90
0.352,0.72,1,135,250,90
0.144,0.46,1,135,250,90
0.28,0.21,1,135,250,90
0.10,0.14,1,135,250,90
0.334,0.72,1,135,250,90
0.288,0.64,1,135,250,90
0.108,0.39,1,135,250,90
0.374,0.75,1,135,250,90
0.165,0.50,1,135,250,90
0.54,0.28,1,135,250,90
0.280,0.64,1,135,250,90
0.32,0.21,1,135,250,90
0.54,0.28,1,135,250,90
0.54,0.28,1,135,250,90
0.334,0.72,1,135,250,90
0.07,0.10,1,135,250,90
0.104,0.39,1,135,250,90
0.273,0.64,1,135,250,90
0.21,0.18,1,135,250,90
0.223,0.57,1,135,250,90
0.39,0.25,1,135,250,90
0.54,0.28,1,135,250,90
0.298,0.68,1,135,250,90
0.237,0.61,1,135,250,90
0.302,0.68,1,135,250,90
0.162,0.50,1,135,250,90
0.363,0.75,1,135,250,90
0.122,0.43,1,135,250,90
0.68,0.32,1,135,250,90
0.270,0.64,1,135,250,90
0.64,0.32,1,135,250,90
0.194,0.54,1,135,250,90
0.187,0.54,1,135,250,90
0.86,0.36,1,135,250,90
0.273,0.64,1,135,250,90
0.14,0.14,1,135,250,90
0.144,0.46,1,135,250,90
0.183,0.54,1,135,250,90
0.61,0.32,1,135,250,90
0.111,0.39,1,135,250,90
0.324,0.72,1,135,250,90
0.21,0.18,1,135,250,90
0.172,0.50,1,135,250,90
0.68,0.32,1,135,250,90
0.68,0.32,1,135,250,90
0.21,0.18,1,135,250,90
0.14,0.14,1,135,250,90
0.28,0.21,1,135,250,90
0.126,0.43,1,135,250,90
0.216,0.57,1,135,250,90
0.104,0.39,1,135,250,90
0.21,0.18,1,135,250,90
0.212,0.57,1,135,250,90
0.151,0.46,1,135,250,90
0.313,0.68,1,135,250,90
0.14,0.14,1,135,250,90
0.298,0.68,1,135,250,90
0.183,0.54,1,135,250,90
0.324,0.68,1,135,250,90
0.10,0.14,1,135,250,90
0.68,0.32,1,135,250,90
0.21,0.18,1,135,250,90
0.140,0.46,1,135,250,90
0.97,0.39,1,135,250,90
0.324,0.68,1,135,250,90
0.194,0.54,1,135,250,90
0.21,0.18,1,135,250,90
0.03,0.07,1,135,250,90
0.280,0.64,1,135,250,90
0.100,0.39,1,135,250,90
0.216,0.57,1,135,250,90
0.28,0.21,1,135,250,90
0.36,0.25,1,135,250,90
0.183,0.54,1,135,250,90
0.313,0.68,1,135,250,90
0.10,0.14,1,135,250,90
0.82,0.36,1,135,250,90
0.104,0.39,1,135,250,90
0.10,0.14,1,135,250,90
0.334,0.72,1,135,250,90
0.352,0.75,1,135,250,90
0.39,0.25,1,135,250,90
0.68,0.32,1,135,250,90
0.273,0.64,1,135,250,90
0.68,0.32,1,135,250,90
0.68,0.32,1,135,250,90
0.28,0.21,1,135,250,90
0.03,0.07,1,135,250,90
0.50,0.28,1,135,250,90
0.54,0.28,1,135,250,90
0.212,0.57,1,135,250,90
0.234,0.61,1,135,250,90
0.248,0.61,1,135,250,90
0.104,0.39,1,135,250,90
0.162,0.50,1,135,250,90
0.93,0.36,1,135,250,90
0.241,0.61,1,135,250,90
0.363,0.75,1,135,250,90
0.216,0.57,1,135,250,90
0.39,0.25,1,135,250,90
0.86,0.36,1,135,250,90
0.190,0.54,1,135,250,90
0.244,0.61,1,135,250,90
0.180,0.54,1,135,250,90
0.104,0.39,1,135,250,90
0.212,0.57,1,135,250,90
0.86,0.36,1,135,250,90
0.104,0.39,1,135,250,90
0.291,0.64,1,135,250,90
0.259,0.64,1,135,250,90
0.79,0.36,1,135,250,90
0.190,0.54,1,135,250,90
0.07,0.10,1,135,250,90
0.136,0.46,1,135,250,90
0.136,0.46,1,135,250,90
0.122,0.43,1,135,250,90
0.277,0.64,1,135,250,90
0.39,0.25,1,135,250,90
0.68,0.32,1,135,250,90
0.392,0.79,1,135,250,90
0.61,0.32,1,135,250,90
0.82,0.36,1,135,250,90
0.100,0.39,1,135,250,90
0.190,0.54,1,135,250,90
0.237,0.61,1,135,250,90
0.39,0.25,1,135,250,90
0.363,0.75,1,135,250,90
0.216,0.57,1,135,250,90
0.14,0.14,1,135,250,90
0.126,0.43,1,135,250,90
0.104,0.39,1,135,250,90
0.212,0.57,1,135,250,90
0.129,0.43,1,135,250,90
0.284,0.68,1,135,250,90
0.219,0.57,1,135,250,90
0.176,0.50,1,135,250,90
0.32,0.21,1,135,250,90
0.90,0.36,1,135,250,90
0.50,0.28,1,135,250,90
0.03,0.07,1,135,250,90
0.363,0.75,1,135,250,90
0.122,0.43,1,135,250,90
0.54,0.28,1,135,250,90
0.190,0.54,1,135,250,90
0.39,0.25,1,135,250,90
0.190,0.54,1,135,250,90
0.144,0.46,1,135,250,90
0.07,0.10,1,135,250,90
0.03,0.07,1,135,250,90
0.03,0.07,1,135,250,90
0.172,0.50,1,135,250,90
0.10,0.14,1,135,250,90
0.68,0.32,1,135,250,90
0.295,0.68,1,135,250,90
0.28,0.21,1,135,250,90
0.338,0.72,1,135,250,90
0.07,0.10,1,135,250,90
0.324,0.68,1,135,250,90
0.338,0.72,1,135,250,90
0.32,0.21,1,135,250,90
0.187,0.54,1,135,250,90
0.381,0.79,1,135,250,90
0.46,0.25,1,135,250,90
0.190,0.54,1,135,250,90
0.39,0.25,1,135,250,90
0.194,0.54,1,135,250,90
0.18,0.14,1,135,250,90
0.39,0.25,1,135,250,90
0.165,0.50,1,135,250,90
0.07,0.10,1,135,250,90
0.43,0.25,1,135,250,90
0.212,0.57,1,135,250,90
0.183,0.54,1,135,250,90
0.306,0.68,1,135,250,90
0.28,0.21,1,135,250,90
0.277,0.64,1,135,250,90
0.104,0.39,1,135,250,90
0.68,0.32,1,135,250,90
0.14,0.14,1,135,250,90
0.21,0.18,1,135,250,90
0.03,0.07,1,135,250,90
0.129,0.43,1,135,250,90
0.32,0.21,1,135,250,90
0.03,0.07,1,135,250,90
0.216,0.57,1,135,250,90
0.194,0.54,1,135,250,90
0.43,0.25,1,135,250,90
0.237,0.57,1,135,250,90
0.39,0.25,1,135,250,90
0.302,0.68,1,135,250,90
0.68,0.32,1,135,250,90
0.277,0.64,2,67,250,90
0.03,0.07,1,135,250,90
0.183,0.54,1,135,250,90
0.57,0.28,1,135,250,90
0.169,0.50,1,135,250,90
0.03,0.07,1,135,250,90
0.90,0.36,1,135,250,90
0.10,0.14,1,135,250,90
0.144,0.46,1,135,250,90
0.338,0.72,1,135,250,90
0.43,0.25,1,135,250,90
0.241,0.61,1,135,250,90
0.90,0.36,1,135,250,90
0.169,0.50,1,135,250,90
0.86,0.36,1,135,250,90
0.64,0.32,1,135,250,90
0.345,0.72,1,135,250,90
0.363,0.75,1,135,250,90
0.32,0.21,1,135,250,90
0.144,0.46,1,135,250,90
0.241,0.61,1,135,250,90
0.151,0.46,1,135,250,90
0.82,0.36,1,135,250,90
0.14,0.14,1,135,250,90
0.82,0.36,1,135,250,90
0.136,0.46,1,135,250,90
0.144,0.46,1,135,250,90
0.331,0.72,1,135,250,90
0.219,0.57,1,135,250,90
0.82,0.36,1,135,250,90
0.82,0.36,1,135,250,90
0.338,0.72,1,135,250,90
0.82,0.36,1,135,250,90
0.82,0.36,1,135,250,90
0.86,0.36,1,135,250,90
0.36,0.21,1,135,250,90
0.194,0.54,1,135,250,90
0.248,0.61,1,135,250,90
0.187,0.54,1,135,250,90
0.295,0.68,1,135,250,90
0.39,0.25,1,135,250,90
0.259,0.61,1,135,250,90
0.270,0.64,1,135,250,90
0.151,0.46,1,135,250,90
0.118,0.43,1,135,250,90
0.100,0.39,1,135,250,90
0.32,0.21,1,135,250,90
0.72,0.32,1,135,250,90
0.144,0.46,1,135,250,90
0.03,0.07,1,135,250,90
0.28,0.21,1,135,250,90
0.61,0.32,1,135,250,90
0.54,0.28,1,135,250,90
0.280,0.64,1,135,250,90
0.302,0.68,1,135,250,90
0.43,0.25,1,135,250,90
0.43,0.25,1,135,250,90
0.338,0.72,1,135,250,90
0.144,0.46,1,135,250,90
0.64,0.32,1,135,250,90
0.118,0.43,1,135,250,90
0.86,0.36,1,135,250,90
0.270,0.64,1,135,250,90
0.298,0.68,1,135,250,90
0.68,0.32,1,135,250,90
0.61,0.32,1,135,250,90
0.252,0.61,1,135,250,90
0.07,0.10,1,135,250,90
0.309,0.68,1,135,250,90
0.374,0.75,1,135,250,90
0.64,0.32,1,135,250,90
0.334,0.72,1,135,250,90
0.180,0.54,1,135,250,90
0.100,0.39,1,135,250,90
0.100,0.39,1,135,250,90
0.104,0.39,1,135,250,90
0.126,0.43,1,135,250,90
0.234,0.57,1,135,250,90
0.270,0.64,1,135,250,90
0.223,0.57,1,135,250,90
0.273,0.64,1,135,250,90
0.309,0.68,1,135,250,90
0.270,0.64,1,135,250,90
0.32,0.21,1,135,250,90
0.68,0.32,1,135,250,90
0.03,0.07,1,135,250,90
0.198,0.54,1,135,250,90
0.147,0.46,1,135,250,90
0.165,0.50,1,135,250,90
0.237,0.61,1,135,250,90
0.342,0.72,1,135,250,90
0.212,0.57,1,135,250,90
0.14,0.14,1,135,250,90
0.14,0.14,1,135,250,90
0.136,0.46,1,135,250,90
0.147,0.46,1,135,250,90
0.07,0.10,1,135,250,90
0.86,0.36,1,135,250,90
0.270,0.64,1,135,250,90
0.151,0.46,1,135,250,90
0.144,0.46,1,135,250,90
0.57,0.28,1,135,250,90
0.72,0.32,1,135,250,90
0.162,0.50,1,135,250,90
0.100,0.39,1,135,250,90
0.140,0.46,1,135,250,90
0.169,0.50,1,135,250,90
0.136,0.46,1,135,250,90
0.03,0.07,1,135,250,90
0.21,0.18,1,135,250,90
0.122,0.43,1,135,250,90
0.54,0.28,1,135,250,90
0.07,0.10,1,135,250,90
0.187,0.54,1,135,250,90
0.284,0.64,1,135,250,90
0.136,0.46,1,135,250,90
0.32,0.21,1,135,250,90
0.90,0.36,1,135,250,90
0.07,0.10,1,135,250,90
0.248,0.61,1,135,250,90
0.86,0.36,1,135,250,90
0.162,0.50,1,135,250,90
0.255,0.61,1,135,250,90
0.14,0.14,1,135,250,90
0.115,0.39,1,135,250,90
0.14,0.14,1,135,250,90
0.07,0.10,1,135,250,90
0.190,0.54,1,135,250,90
0.223,0.57,1,135,250,90
0.28,0.21,1,135,250,90
0.32,0.21,1,135,250,90
0.212,0.57,1,135,250,90
0.07,0.10,1,135,250,90
0.194,0.54,1,135,250,90
0.270,0.64,1,135,250,90
0.43,0.25,1,135,250,90
0.54,0.28,1,135,250,90
0.334,0.72,1,135,250,90
0.21,0.18,1,135,250,90
0.68,0.32,1,135,250,90
0.82,0.36,1,135,250,90
0.21,0.18,1,135,250,90
0.54,0.28,1,135,250,90
0.10,0.14,1,135,250,90
0.118,0.43,1,135,250,90
0.28,0.21,1,135,250,90
0.118,0.43,1,135,250,90
0.295,0.68,1,135,250,90
0.07,0.10,1,135,250,90
0.21,0.18,1,135,250,90
0.169,0.50,1,135,250,90
0.28,0.21,1,135,250,90
0.334,0.72,1,135,250,90
0.190,0.54,1,135,250,90
0.79,0.36,1,135,250,90
0.03,0.07,1,135,250,90
0.302,0.68,1,135,250,90
0.331,0.72,1,135,250,90
0.248,0.61,1,135,250,90
0.140,0.46,1,135,250,90
0.14,0.14,1,135,250,90
0.334,0.72,1,135,250,90
0.133,0.46,1,135,250,90
0.183,0.54,1,135,250,90
0.334,0.72,1,135,250,90
0.208,0.57,1,135,250,90
0.32,0.21,1,135,250,90
0.68,0.32,1,135,250,90
0.374,0.75,1,135,250,90
0.162,0.50,1,135,250,90
0.10,0.14,1,135,250,90
0.118,0.43,1,135,250,90
0.266,0.64,1,135,250,90
0.115,0.43,1,135,250,90
0.241,0.61,1,135,250,90
0.82,0.36,1,135,250,90
0.43,0.25,1,135,250,90
0.237,0.61,1,135,250,90
0.100,0.39,1,135,250,90
0.208,0.57,1,135,250,90
0.82,0.36,1,135,250,90
0.241,0.61,1,135,250,90
0.03,0.07,1,135,250,90
0.68,0.32,1,135,250,90
0.266,0.64,1,135,250,90
0.165,0.50,1,135,250,90
0.14,0.14,2,67,250,90
0.277,0.64,1,135,250,90
0.295,0.68,1,135,250,90
0.223,0.57,1,135,250,90
0.10,0.14,1,135,250,90
0.172,0.50,1,135,250,90
0.136,0.46,1,135,250,90
0.180,0.54,1,135,250,90
0.43,0.25,1,135,250,90
0.370,0.75,1,135,250,90
0.208,0.57,1,135,250,90
0.280,0.64,1,135,250,90
0.07,0.10,1,135,250,90
0.28,0.21,1,135,250,90
0.07,0.10,1,135,250,90
0.122,0.43,1,135,250,90
0.363,0.75,1,135,250,90
0.388,0.79,1,135,250,90
0.298,0.68,1,135,250,90
0.334,0.72,1,135,250,90
0.68,0.32,1,135,250,90
0.223,0.57,1,135,250,90
0.140,0.46,1,135,250,90
0.100,0.39,1,135,250,90
0.144,0.46,1,135,250,90
0.187,0.54,1,135,250,90
0.241,0.61,1,135,250,90
0.32,0.21,2,67,250,90
0.100,0.39,1,135,250,90
0.100,0.39,1,135,250,90
0.07,0.10,1,135,250,90
0.50,0.28,1,135,250,90
0.28,0.21,1,135,250,90
0.39,0.25,1,135,250,90
0.90,0.36,1,135,250,90
0.39,0.25,1,135,250,90
0.273,0.64,1,135,250,90
0.03,0.07,1,135,250,90
0.93,0.39,1,135,250,90
0.151,0.46,1,135,250,90
0.363,0.75,1,135,250,90
0.10,0.14,1,135,250,90
0.03,0.07,2,67,250,90
0.28,0.21,2,67,250,90
0.349,0.72,1,135,250,90
0.100,0.39,1,135,250,90
0.14,0.14,1,135,250,90
0.39,0.25,1,135,250,90
0.25,0.18,1,135,250,90
0.32,0.21,2,67,250,90
0.162,0.50,2,67,250,90
0.68,0.32,1,135,250,90
0.165,0.50,1,135,250,90
0.187,0.54,1,135,250,90
0.82,0.36,1,135,250,90
0.68,0.32,1,135,250,90
0.180,0.54,1,135,250,90
0.82,0.36,1,135,250,90
0.280,0.64,1,135,250,90
0.342,0.72,1,135,250,90
0.295,0.68,1,135,250,90
0.28,0.21,1,135,250,90
0.169,0.50,1,135,250,90
0.21,0.18,1,135,250,90
0.136,0.46,1,135,250,90
0.212,0.57,1,135,250,90
0.10,0.14,1,135,250,90
0.198,0.54,1,135,250,90
0.144,0.46,1,135,250,90
0.86,0.36,1,135,250,90
0.295,0.68,1,135,250,90
0.93,0.36,1,135,250,90
0.234,0.61,1,135,250,90
0.68,0.32,1,135,250,90
0.39,0.25,1,135,250,90
0.162,0.50,1,135,250,90
0.140,0.46,1,135,250,90
0.57,0.28,1,135,250,90
0.216,0.57,1,135,250,90
0.97,0.39,1,135,250,90
0.03,0.07,1,135,250,90
0.345,0.72,1,135,250,90
0.61,0.28,1,135,250,90
0.144,0.46,1,135,250,90
0.302,0.68,1,135,250,90
0.57,0.28,1,135,250,90
0.90,0.36,1,135,250,90
0.270,0.64,1,135,250,90
0.126,0.43,1,135,250,90
0.144,0.46,1,135,250,90
0.14,0.14,1,135,250,90
0.28,0.21,1,135,250,90
0.280,0.64,1,135,250,90
0.68,0.32,1,135,250,90
0.190,0.54,1,135,250,90
0.194,0.54,1,135,250,90
0.266,0.64,1,135,250,90
0.68,0.32,1,135,250,90
0.82,0.36,1,135,250,90
0.216,0.57,1,135,250,90
0.352,0.72,1,135,250,90
0.187,0.54,1,135,250,90
0.360,0.75,1,135,250,90
0.07,0.10,1,135,250,90
0.28,0.21,1,135,250,90
0.252,0.61,1,135,250,90
0.392,0.79,1,135,250,90
0.136,0.46,1,135,250,90
0.144,0.46,1,135,250,90
0.270,0.64,1,135,250,90
0.266,0.61,1,135,250,90
0.14,0.14,1,135,250,90
0.39,0.25,1,135,250,90
0.327,0.72,1,135,250,90
0.28,0.21,1,135,250,90
0.90,0.36,1,135,250,90
0.86,0.36,1,135,250,90
0.03,0.07,1,135,250,90
0.86,0.36,1,135,250,90
0.306,0.68,1,135,250,90
0.273,0.64,1,135,250,90
